 FECHA      PRECIP  EVAP   TMAX   TMIN
01/11/1974  0      6.5    31     11 
02/11/1974  0      2.7    31     11 
03/11/1974  0      4.1    28     13 
04/11/1974  0      0.4    28     12 
05/11/1974  6      3.1    29     10 
06/11/1974  15.5   0.1    21.5   15 
07/11/1974  30     2.8    24     16 
08/11/1974  67     0.1    24     18 
09/11/1974  0      2.5    27     17 
10/11/1974  0      3.3    29     15 
11/11/1974  0      3.8    33     14 
12/11/1974  0      4.2    34     13 
13/11/1974  0      3.4    31     12 
14/11/1974  0      2.3    31     12 
15/11/1974  0      4.3    31     13 
16/11/1974  0      3      30     14 
17/11/1974  0      2.3    30     13 
18/11/1974  0      2.9    28     14 
19/11/1974  0      2.9    27     12 
20/11/1974  0      2.7    30.5   11.5 
21/11/1974  0      1.5    29     14 
22/11/1974  0      1.8    27.5   16 
23/11/1974  0      2.9    30     14 
24/11/1974  0      2.7    31     13 
25/11/1974  0      4.4    32     12 
26/11/1974  0      2.6    30     7 
27/11/1974  0      3      29     9 
28/11/1974  0      2.7    28     7.5 
29/11/1974  0      2.3    21     6.5 
30/11/1974  0      2      26     7 
01/12/1974  0      0.9    26     12 
02/12/1974  0      2.6    26     8.5 
03/12/1974  0      2.4    29     8.5 
04/12/1974  0      7.5    29.5   10 
05/12/1974  0      4      28     10 
06/12/1974  0      3.1    27     9 
07/12/1974  0      2.1    28     4.5 
08/12/1974  0      1.1    27     6.5 
09/12/1974  0      1.6    23     9 
10/12/1974  0      1.2    24     3 
11/12/1974  0      2.6    26     8 
12/12/1974  0      3.1    27.5   5.5 
13/12/1974  0      4.1    29     5 
14/12/1974  0      2.1    24     7 
15/12/1974  0      3.1    25.5   6.5 
16/12/1974  0      2.1    27.5   5 
17/12/1974  0      2.5    29     6 
18/12/1974  0      4.1    20     8.5 
19/12/1974  0      1.6    26     10 
20/12/1974  0      2.4    27.5   8 
21/12/1974  0      2      28     6.5 
22/12/1974  0      3.6    29     6.5 
23/12/1974  0      3.4    26.5   6.5 
24/12/1974  12     1.2    21     6.5 
25/12/1974  9      2.2    13.5   8.5 
26/12/1974  0      1.1    17.5   5 
27/12/1974  0      3.5    21     7 
28/12/1974  0      3.3    24     10 
29/12/1974  0      1.8    21     11 
30/12/1974  0      1      19     10 
31/12/1974  0      2.8    22     2 
01/01/1975  0      3.5    20.5   6 
02/01/1975  0      2.8    22.5   3 
03/01/1975  0      4.2    22     5 
04/01/1975  0      3.3    28     5 
05/01/1975  0      4      29.5   6 
06/01/1975  0      3.9    29     8 
07/01/1975  0      3      29     9 
08/01/1975  0      2.5    27     9 
09/01/1975  0      1.8    22     6 
10/01/1975  0      3.2    22     8 
11/01/1975  0      0.4    23.5   7 
12/01/1975  0      3.2    27     7 
13/01/1975  0      5.2    31     4 
14/01/1975  0      3.3    30     4 
15/01/1975  0      3.4    30     7 
16/01/1975  0      3.5    30     7 
17/01/1975  0      2.3    30     9 
